,iso3,year,sector_GMatrix,g_primaryagr,g_otherprim,g_energy,g_procfoods,g_bevtobacco,g_textiles,g_clothing,g_leather,g_lumber,g_paperpub,g_chemicals,g_nonmetmin,g_metals,g_fabmetals,g_transpequip,g_machinery,g_othermanuf,g_water,g_construction,g_distribution,g_transport,g_communcation,g_finance,g_insurance,g_obsict,g_oconsumer,g_oservices,sector_HMatrix,h_primaryagr,h_otherprim,h_energy,h_procfoods,h_bevtobacco,h_textiles,h_clothing,h_leather,h_lumber,h_paperpub,h_chemicals,h_nonmetmin,h_metals,h_fabmetals,h_transpequip,h_machinery,h_othermanuf,h_water,h_construction,h_distribution,h_transport,h_communcation,h_finance,h_insurance,h_obsict,h_oconsumer,h_oservices,DomVAshare,GXshare,DXshare,VXsharefwd,VXsharebwd
885,kor,1997,communcation,62.9872,21.0509,31.0842,175.791,32.3573,109.5,85.4298,36.3455,2.9873,59.0443,155.888,11.1923,68.9352,45.7626,315.884,688.143,51.6593,3.6223,810.594,1663.73,213.02,3421.36,58.7181,154.49,313.129,311.181,813.689,communcation,1.3261,2.6696,14.2966,14.3177,1.7155,102.218,24.8203,23.0285,2.5886,23.7338,106.095,9.3543,69.7995,21.8326,158.618,472.667,18.2892,0.0489,0.5547,96.7265,130.44,601.981,4.5136,13.9073,255.196,15.2841,14.4169,0.750061,0.00487,0.011346,0.021011,0.006675
886,kor,1997,finance,276.38,66.1592,84.9886,556.968,92.2132,682.404,302.56,143.408,13.4921,149.117,535.084,36.8328,251.992,175.273,1409.11,2069.24,241.561,6.4543,2906.98,1234.93,537.448,68.5185,2146.44,396.792,104.232,275.943,2633.49,finance,5.8187,8.3902,39.0888,45.3635,4.8889,637.021,87.904,90.8629,11.6913,59.9399,364.172,30.7841,255.152,83.6201,707.574,1421.3,85.521,0.0871,1.9894,71.7973,329.098,12.0557,164.995,35.7195,84.9479,13.5533,46.6601,0.696386,0.001335,0.002887,0.044879,0.001938
887,kor,1997,insurance,22.678,16.404,15.3567,82.5726,14.1387,91.3223,83.4663,21.6165,1.8642,18.9414,79.8877,6.0764,29.2992,22.0555,127.085,298.15,30.6852,0.5998,294.522,62.6007,182.205,6.8861,6.3186,6410.32,23.6942,38.8132,160.815,insurance,0.4774,2.0803,7.063,6.7253,0.7496,85.2488,24.2498,13.6962,1.6154,7.6138,54.3706,5.0786,29.6666,10.5223,63.8146,204.791,10.8636,0.0081,0.2016,3.6395,111.57,1.2116,0.4857,577.062,19.3105,1.9064,2.8493,0.701487,0.005001,0.010898,0.011906,0.007215
888,kor,1997,obsict,418.147,141.793,142.442,1004.58,242.422,523.52,448.227,152.639,9.5063,271.176,849.019,45.3184,288.036,203.64,1586.68,3104.21,273.262,12.0846,6702.37,4050.33,1075.59,171.396,222.248,628.155,5903.25,1135.94,3522.78,obsict,8.8034,17.9818,65.5133,81.8205,12.8526,488.703,130.225,96.712,8.2375,109.004,577.832,37.8762,291.647,97.1536,796.739,2132.19,96.7442,0.1631,4.5868,235.48,658.624,30.1567,17.0839,56.5469,4811.08,55.7934,62.4166,0.589027,0.041176,0.075343,0.104863,0.057796
889,kor,1997,oconsumer,46.0962,30.3134,25.4877,159.436,31.8182,151.89,102.783,36.63,3.1398,53.3188,150.871,9.8701,54.0975,51.1567,269.042,538.034,51.9149,3.3463,590.63,468.764,188.695,42.2745,27.846,177.68,106.192,3170.6,1121.09,oconsumer,0.9705,3.8443,11.7226,12.9856,1.6869,141.789,29.8619,23.2087,2.7207,21.4324,102.681,8.2493,54.7757,24.4061,135.097,369.561,18.3797,0.0452,0.4042,27.2532,115.544,7.4381,2.1405,15.9949,86.5453,155.729,19.8634,0.2073,0.004275,0.002753,0.013314,0.004774
890,kor,1997,oservices,44.5156,17.3257,62.0556,131.781,20.9866,117.603,46.7265,31.4818,1.331,25.5663,291.298,9.4912,86.9978,45.4789,750.713,2625.39,47.6759,3.7724,742.197,197.994,188.183,25.6307,10.7613,26.2787,38.9522,80.9926,65819.5,oservices,0.9372,2.1972,28.5413,10.7332,1.1127,109.782,13.5756,19.9468,1.1533,10.2768,198.254,7.9326,88.0885,21.6972,376.964,1803.31,16.8789,0.0509,0.5079,11.5111,115.231,4.5097,0.8272,2.3656,31.7456,3.9781,1166.19,0.677193,0.010455,0.021993,0.038656,0.014505
1242,phl,1997,primaryagr,4461.37,11.0345,0.6727,5333.38,425.206,29.1615,23.4665,9.327,2.0134,0.7583,41.2055,0.3529,1.144,0.2822,1.8539,24.3977,20.4074,0.2456,17.1785,28.223,31.9969,0.4688,0.3148,3.0542,80.1308,123.794,62.6249,primaryagr,443.909,2.0705,0.0946,513.772,14.4058,26.3363,24.5245,11.66,2.1241,0.4113,28.4777,0.3655,1.8098,0.7854,0.771,27.1718,13.662,0.0077,0.088,1.4844,17.7129,0.0418,0.0389,0.2842,77.104,2.5494,0.4866,0.65446,0.012943,0.026779,0.06176,0.024912
1243,phl,1997,otherprim,8.4702,1495.26,4.7077,446.835,13.4919,0.5876,1.0838,0.55,18.6543,0.6011,5.2827,4.1392,37.2437,2.8405,9.8484,132.043,8.4974,0.3546,145.726,13.3388,10.379,0.2891,0.1487,1.3372,25.2242,53.3854,33.8414,otherprim,0.8428,280.568,0.6622,43.0443,0.4571,0.5306,1.1326,0.6875,19.6797,0.326,3.651,4.2866,58.9187,7.9058,4.0957,147.057,5.6887,0.0111,0.7469,0.7016,5.7456,0.0258,0.0184,0.1244,24.2714,1.0994,0.263,0.606283,0.010323,0.019786,0.031209,0.016614
1244,phl,1997,energy,28.826,120.383,514.051,170.31,28.6326,19.1808,40.1446,10.2565,17.6846,10.285,21.5944,10.0711,14.1515,2.5917,18.4782,181.482,14.4657,1.4445,99.9491,44.0876,140.73,1.587,1.227,8.6999,214.33,30.9873,99.5143,energy,2.8682,22.5884,72.3112,16.4062,0.9701,17.3225,41.9545,12.822,18.6567,5.5787,14.9242,10.4297,22.3874,7.2133,7.6847,202.117,9.6842,0.0452,0.5123,2.3189,77.9058,0.1416,0.1517,0.8096,206.234,0.6382,0.7733,0.265883,0.004912,0.004129,0.03951,0.004193
1245,phl,1997,procfoods,57.1091,7.8591,0.2575,4887.8,109.686,0.8672,1.1686,0.572,0.8929,0.1381,9.1068,0.1371,0.5291,0.1057,0.628,7.5341,7.9938,0.0833,7.3006,13.5999,15.9367,0.215,0.1282,1.5162,16.9265,73.5247,28.8729,procfoods,5.6824,1.4747,0.0362,470.848,3.7161,0.7832,1.2213,0.7151,0.942,0.0749,6.2938,0.142,0.837,0.2943,0.2612,8.3908,5.3515,0.0026,0.0374,0.7153,8.8223,0.0192,0.0159,0.1411,16.2871,1.5142,0.2244,0.297022,0.034152,0.032068,0.027251,0.058416
1246,phl,1997,bevtobacco,0.227,0.0775,0.0592,1.2787,696.073,0.0294,0.0644,0.0456,0.0638,0.0129,0.1948,0.0134,0.1305,0.0175,0.1265,1.0993,0.0625,0.0102,0.6541,7.2448,1.0002,0.0115,0.005,0.0398,0.4008,1.4661,1.0007,bevtobacco,0.0226,0.0145,0.0083,0.1232,23.5827,0.0266,0.0673,0.057,0.0673,0.007,0.1346,0.0138,0.2065,0.0488,0.0526,1.2243,0.0418,0.0003,0.0034,0.381,0.5537,0.001,0.0006,0.0037,0.3857,0.0302,0.0078,0.306652,0.001778,0.001723,0.001379,0.002572
1247,phl,1997,textiles,1.2778,3.9553,0.0868,7.5578,0.5039,107.599,77.4142,12.4908,0.1943,0.0819,3.5696,0.1096,0.2052,0.0705,0.7772,9.9151,12.1953,0.0313,2.0303,3.0748,2.7122,0.0396,0.0286,0.2055,3.262,2.8436,8.5544,textiles,0.1271,0.7422,0.0122,0.7281,0.0171,97.1742,80.9044,15.6153,0.205,0.0444,2.467,0.1135,0.3246,0.1963,0.3232,11.0425,8.1643,0.001,0.0104,0.1617,1.5015,0.0035,0.0035,0.0191,3.1388,0.0586,0.0665,0.151663,0.012093,0.005798,0.01137,0.008921
1248,phl,1997,clothing,0.0345,0.0062,0.0031,0.0805,0.0131,0.0018,491.983,0.003,0.004,0.0007,0.0035,0.0012,0.0056,0.0009,0.0065,0.0606,0.0038,0.0008,0.0506,0.2975,0.0652,0.0023,0.0013,0.0163,0.4701,0.8253,0.7651,clothing,0.0034,0.0012,0.0004,0.0078,0.0004,0.0017,514.163,0.0038,0.0042,0.0004,0.0024,0.0012,0.0088,0.0026,0.0027,0.0675,0.0025,0.0,0.0003,0.0156,0.0361,0.0002,0.0002,0.0015,0.4524,0.017,0.0059,0.246942,0.050111,0.039119,0.02623,0.038171
1249,phl,1997,leather,0.0015,0.0006,0.0001,0.0112,0.0006,0.0028,0.0139,89.7858,0.0005,0.0,0.0038,0.0,0.0001,0.0001,0.0017,0.0116,0.0078,0.0,0.002,0.0034,0.002,0.0001,0.0,0.0002,0.0048,0.0065,0.0056,leather,0.0001,0.0001,0.0,0.0011,0.0,0.0025,0.0145,112.244,0.0005,0.0,0.0026,0.0,0.0002,0.0002,0.0007,0.0129,0.0052,0.0,0.0,0.0002,0.0011,0.0,0.0,0.0,0.0046,0.0001,0.0,0.228315,0.011296,0.008153,0.005721,0.010937
1250,phl,1997,lumber,2.0846,1.1296,0.7104,4.5219,0.4861,0.0921,0.278,0.1117,158.705,0.0516,0.1751,0.052,0.2279,0.0752,0.3589,4.27,9.4034,0.0631,71.4557,9.7066,1.0937,0.0364,0.0301,0.1944,5.7132,2.7783,8.2492,lumber,0.2074,0.212,0.0999,0.4356,0.0165,0.0832,0.2906,0.1396,167.428,0.028,0.121,0.0538,0.3605,0.2094,0.1493,4.7555,6.2952,0.002,0.3662,0.5105,0.6054,0.0032,0.0037,0.0181,5.4974,0.0572,0.0641,0.273259,0.013265,0.011459,0.009579,0.014531
1251,phl,1997,paperpub,1.5501,0.3461,0.3269,6.0228,12.0706,0.4505,0.7934,0.3509,0.3455,31.4293,0.6387,0.9427,0.2262,0.0919,0.3496,9.0933,1.1764,0.1601,6.3589,10.2005,3.0277,0.3559,0.4208,1.6731,12.6117,2.5737,38.245,paperpub,0.1542,0.0649,0.046,0.5802,0.4089,0.4069,0.8291,0.4387,0.3645,17.0477,0.4414,0.9763,0.3579,0.2559,0.1454,10.1273,0.7876,0.005,0.0326,0.5365,1.6761,0.0318,0.052,0.1557,12.1353,0.053,0.2972,0.144853,0.002489,0.00114,0.002466,0.001557
1252,phl,1997,chemicals,50.1923,9.3906,2.253,97.1155,13.2961,11.8215,15.8299,8.0692,4.7516,1.5804,255.318,0.9289,3.1458,0.9206,6.3561,96.0379,9.5065,0.9229,57.7877,48.8165,78.8769,0.902,0.6987,4.1481,100.56,69.7173,90.5689,chemicals,4.9942,1.762,0.3169,9.3553,0.4505,10.6762,16.5436,10.0876,5.0128,0.8572,176.454,0.9619,4.9765,2.5622,2.6434,106.958,6.3642,0.0289,0.2962,2.5676,43.665,0.0805,0.0864,0.386,96.7614,1.4358,0.7038,0.252451,0.014826,0.011832,0.025831,0.013685
1253,phl,1997,nonmetmin,0.9192,0.4063,0.3044,7.2613,11.2135,0.1737,0.2938,0.1272,0.1889,0.051,3.1511,48.5639,0.1245,0.0454,0.789,8.2626,0.8614,0.2054,123.121,2.5992,1.9436,0.0317,0.0321,0.1759,5.9576,3.3428,12.4944,nonmetmin,0.0915,0.0762,0.0428,0.6995,0.3799,0.1568,0.307,0.159,0.1992,0.0276,2.1777,50.2931,0.1969,0.1265,0.3281,9.2021,0.5767,0.0064,0.631,0.1367,1.076,0.0028,0.004,0.0164,5.7325,0.0688,0.0971,0.239663,0.004738,0.003589,0.00371,0.004221
1254,phl,1997,metals,1.603,2.1114,5.2116,11.8026,3.5385,0.3389,0.675,0.3544,0.94,0.3255,0.9455,1.1583,63.6023,4.7333,16.1286,187.661,3.5584,0.2625,86.5889,9.424,6.809,0.2261,0.0807,0.4007,19.5427,4.0873,12.1838,metals,0.1595,0.3962,0.7331,1.137,0.1199,0.3061,0.7054,0.4431,0.9917,0.1766,0.6534,1.1995,100.618,13.174,6.7076,208.998,2.3822,0.0082,0.4438,0.4957,3.7693,0.0202,0.01,0.0373,18.8045,0.0842,0.0947,0.161865,0.01461,0.007476,0.018478,0.017798
1255,phl,1997,fabmetals,2.949,1.976,0.9232,22.4657,13.3362,0.1971,0.4377,0.9024,2.9208,0.1515,0.8977,0.1544,0.3616,28.1912,7.2507,76.2137,5.5868,0.1169,117.186,14.4185,7.2159,0.6724,0.1794,0.6254,8.4519,6.6895,14.9234,fabmetals,0.2934,0.3708,0.1299,2.1642,0.4518,0.178,0.4575,1.1281,3.0814,0.0822,0.6204,0.1599,0.572,78.4625,3.0154,84.8794,3.7401,0.0037,0.6006,0.7584,3.9946,0.06,0.0222,0.0582,8.1326,0.1378,0.116,0.273487,0.006834,0.005908,0.009868,0.007717
1256,phl,1997,transpequip,0.3883,0.1786,0.1084,0.8472,0.1185,0.0169,0.0449,0.0222,0.0497,0.0074,0.0322,0.0098,0.0507,0.0082,52.2083,0.5565,0.0933,0.0415,0.553,2.1476,6.0044,0.0735,0.0199,0.1072,6.6957,0.6387,2.9978,transpequip,0.0386,0.0335,0.0152,0.0816,0.004,0.0152,0.0469,0.0278,0.0524,0.004,0.0222,0.0101,0.0803,0.0227,21.7125,0.6198,0.0625,0.0013,0.0028,0.113,3.3239,0.0066,0.0025,0.01,6.4428,0.0132,0.0233,0.061127,0.007704,0.001489,0.001671,0.00475
1257,phl,1997,machinery,0.7321,1.6503,0.3664,2.7847,0.3114,0.0761,0.1444,0.0609,0.4077,0.043,0.1542,0.0828,0.1066,0.0389,0.8463,1661.58,0.4825,0.0699,4.2208,2.3539,3.8558,0.4902,0.0525,0.2176,8.4601,1.3901,6.3293,machinery,0.0728,0.3097,0.0515,0.2683,0.0106,0.0687,0.1509,0.0761,0.4301,0.0233,0.1066,0.0858,0.1686,0.1084,0.352,1850.51,0.323,0.0022,0.0216,0.1238,2.1345,0.0438,0.0065,0.0203,8.1405,0.0286,0.0492,0.099645,0.431593,0.135953,0.094956,0.189745
